Concultatory,Title,ΔΗΜΟΣΙΟ,ΔΙΟΡΙΣΜΟΣ ΠΡΟΣΛΗΨΗ,ΕΤΑΙΡΕΙΕΣ ΑΝΩΝΥΜΕΣ,ΠΡΟΣΩΠΙΚΟ ΥΠΑΛΛΗΛΟΙ,ΥΠΑΛΛΗΛΟΙ ΔΗΜΟΣΙΟΙ
καθηγητρια ανωτατης σχολης καλων τεχνων διαρκεια επιστημονικης αδειας αλλοδαπη συνεργαζεται αμοιβη αλλοδαπο πανεπιστημιο δικαιουται αποδοχες προσαυξημενες ανεξαρτητα γεγονος συνεργασια λαβει υποτροφια ιδρυμα fullbright αποδεκτη,"Δικαίωμα προσαύξησης των αποδοχών Καθηγήτριας της Ανωτάτης Σχολής Καλών Τεχνών, κατά τη διάρκεια της επιστημονικής της αδείας στην αλλοδαπή.",0,0,0,0,1
υπαλληλικου κωδικα υφισταται σαφης δηλωση περι παραιτησεως εγκυρος ισχυρα παροδο οριζομενης διαταξη προθεσμιας αποδοχη διοικηση παραιτηθεις υπαλληλος ανακαλεσει μονη δυνατοτητα ανακλησεως παραιτησεως υπαλληλου ακολουθια ανακλησεως διοικησεως σχετικης πραξεως αποδοχης γινεται δεκτον χωρησει γενικες αρχες περι ανακλησεως ατομικων διοικητικων πραξεων παραιτηση υπαλληλου νομω πλημμελης εχωρησε πλανη περι πραγματικα ενοψει ορισμενης πραγματικης καταστασεως υπελαβε υφισταμενη πραγματικα υφιστατο υποβολης αιτησεως παραιτησεως συντρεχουν λογοι προσωπο παραιτηθεντος αντικειμενου δηλοποιουν ελλειψη συνειδησης πραττομενων δηλωνουν υποβληθεισα παραιτηση προιον ελευθερας βουλησεως βλπσχετικα θεματων γνωμ νομσυμβουλιου κρατους,"Δυνατότητα ή μη ανακλήσεως εκ μέρους της Διοικήσεως, Πράξεως αποδοχής υποβληθείσης παραιτήσεως υπαλλήλου, με την αιτιολογία, ότι η υποβολή της περί παραιτήσεως αιτήσεως αυτού εχώρησε, από καθαρά λόγους ψυχολογικού καταναγκασμού.",1,0,0,0,1
δικαιωμα αποκλειστικης χρησεως αιγιαλου θαλασσιας περιοχης παραχωρηθει ανταλλαγμα ανωνυμη εταιρεια επωνυμια «τουριστικη γεωργικη εξαγωγικη αε» συμβασης κυρωθηκε πλαισια εφαρμογης αναπτυξιακου μεταβιβασθηκε ξενοδοχειακη τουριστικη γεωργικη ανωνυμη εταιρεια ποτιδαια» αττβε πορτο καρρας περιουσιακο στοιχειο ενεργητικου επιχειρησης πραγματοπαγους χαρακτηρα αριθ συμβολαιο συμβφου θεσσαλονικης ιμχ συνεβληθη τριτου συμβαλλομενο ελληνικο δημοσιο χρειαζεται γινει τροποποιηση κυρωθεισας συμβασης αναπτυξιακο υπηχθη επενδυτικο σχεδιο φορεας υπολογισμο χρονου παραχωρησης ισχυει ποσο εκατ δολαριων ηπα διαλαμβανεται κυρωθεισας συμβασης ποσο εκατ δολαριων ηπα υποχρεωση εισαγαγει εξωτερικο επενδυτης εκδοθηκε πλαισια εφαρμογης αλλου αναπτυξιακου καθοσον συμφωνιας παραχωρηση τεθηκε ποσο εκατ δολαριων ηπα,"Αναπτυξιακές συμβάσεις - Ισχύς του δικαιώματος αποκλειστικής χρήσης, από την Ανώνυμη Τουριστική Τεχνική Βιομηχανική Εταιρεία «ΠΟΡΤΟ ΚΑΡΡΑΣ», του έμπροσθεν των εγκαταστάσεών της, τμήματος αιγιαλού και παραλίας, που βρίσκεται στο Ν. Μαρμαρά Χαλκιδικής.",0,0,1,0,0
διοικηση συμμορφωση αριθ αποφαση διοικητικου εφετειου αθηνων οφειλει επαναλαβει διαδικασια διαγωνισμου σημειο προσωπο διαγνωσθηκε πλημμελεια προβει νεου προφορικη δοκιμασια συνεντευξη προβει συνταξη πρακτικου «προφορικης δοκιμασιας συνεντευξης» προς επαναληψη προφορικης δοκιμασιας συνεντευξης υποψηφιων γινει νεα αποφαση υπουργου οριζοντας προσωπα υπο αντιστοιχη ιδιοτητά συνδυασμο περιπτωση κριθει επιτυχων οφειλει φοιτησει διπλωματικη ακαδημια επειτα επιτυχη αποφοιτησή διοικηση εκδωσει υπουργικη αποφαση διορισμου καθοριζοντας σειρα τελικης καταταξης υπηρεσιακη επετηριδα καταλαβει μια εικοσι πρωτες θεσεις ανακληθει διορισμος καταλαβει θεση λαμβανομενης υποψη αρχης προστασιας δικαιολογημενης εμπιστοσυνης αποφαση θιγεται διορισμος επιτυχοντων διαγωνισμου αποδεκτη,"Συμμόρφωση της Διοίκησης με απόφαση του Διοικητικού Εφετείου Αθηνών (Ακυρωτικός Σχηματισμός), λόγω παράλειψης σύνταξης πρακτικού «προφορικής δοκιμασίας- συνέντευξης» του διαγωνισμού για την εισαγωγή είκοσι υποψηφίων Ακολούθων Πρεσβείας στη Διπλωματική Ακαδημία του ΥΠΕΞ.",0,1,0,0,0
ορος καταστατικου ομορρυθμης εταιρειας νεοεισερχομενο μελος ευθυνεται προγενεστερα εισοδό χρεη εταιρειας προς τριτους προς δημοσιο εγκυρος ισχυρος,Εγκυρότητα συμφωνίας μη ευθύνης νεοεισερχόμενου ομόρρυθμου εταί- ρου για χρέη της εταιρείας προγενέστερα της εισόδου του.,1,0,0,0,0
περιπτωση προσφυγης δικαστηριο καθορισμο τιμης εξαγορας δημοσιου κτηματος προθεσμια καταβολης δοσεων αρχιζει εκδοσεως δικαστικης αποφασεως περιπτωση καταβολης εκτοτε δοσεων παραχωρηση ακυρωνεται αυτοδικαιως υπαρχουσας παραχωρητηριο διαλυτικης αιρεσεως,Εταιρείες εμπορίας πετρελαιοειδών. Εκμίσθωση πλεοναζόντων ιδιόκτητων αποθηκευτικών χώρων.,0,0,1,0,0
διοικηση ανακαλεσει παρανομο διορισμο πυροσβεστικης υπαλληλου παρελευση διετιας δημοσιευση πραξη διορισμου στοιχεια υποθεσεως αποδειχθει επαρκεια διορισθεισα προκαλεσε δολιως υποβοηθησε παρανομια διοικησεως,Ανάκληση παράνομου διορισμού πυροσβεστικής υπαλλήλου.,0,1,0,0,1
ερμηνεια τηρητεα πορεια υποθεσεως συμβασεως προμηθειασ,ερμηνεία και τηρητέα πορεία υποθέσεως συμβάσεως προμηθείασ,1,0,0,0,0
τεχνικες υπηρεσιες οτα τυδκ στερουνται αρμοδιοτητας εκπονηση επιβλεψη μελετων επιβλεψη εργων ανατιθενται δημοτικες κοινοτικες επιχειρησεις,Υπάλληλοι. Μετάταξη από ΝΠΙΔ στο Δημόσιο ή ΝΠΔΔ ή ΟΤΑ. Τρόπος υπολογισμού προσωπικής δις.,0,0,0,1,1
εφαρμοσθει διαταξη διορισθει επομενος αξιολογικου πινακα περιπτωση αποδειχθει υποψηφιος ιατρος απαραιτητα τυπικα προσοντα διορισμου συντρεχει προσωπο κωλυμα διορισμου τοσο ληξης προθεσμιας υποβολης αιτησεως διορισμου υπο κριση ζητημα ερευνηθει ελλειψη τυπικων προσοντων κωλυματα διορισμου προκυπτουν αμεσα στοιχεια τηρουμενου αρμοδια υπηρεσια φακελου,Δυνατότητα ή μη από την Διοίκηση διορισμού των δύο πρώτων καταταγέντων στον πίνακα κατάταξης του Περιφερειακού Συμβουλίου Επιλογής Επιμελητών Ε.Σ.Υ. του Π.Γ.Ν. «ΑΤΤΙΚΟΝ».,0,1,0,0,0
μεταβιβαση δημοσιου ταμειο αξιοποιησης ιδιωτικης περιουσιας δημοσιου ταιπεδ ποσοστου μετοχικου κεφαλαιου εταιρειας ελτα δικαιωματων ψηφου εταιρειας ολπ επιτρεπτη αποσπαση υπαλληλου εταιρειας ελτα υπουργειο διοικητικης μεταρρυθμισης ηλεκτρονικης διακυβερνησης υδιμηδ διαθεσή βουλευτη διαταξεις αντιθετα επιτρεπτη αποσπαση υπαλληλου ιδιο υπουργειο ιδιο σκοπο εταιρεια ολπ επισης μεταβιβαση ταιπεδ δημοσιου συνολου μετοχικου κεφαλαιου εταιρειας τραινοσε επιτρεπτη αποσπαση υπαλληλου εταιρειας καλυψη αναγκων γραμματειας ρυθμιστικης αρχης ενεργειας ραε διαταξεις αρθρων αποδεκτη,"Επιτρεπτό απόσπασης στο Υ.ΔΙ.Μ.Η.Δ. για διάθεση σε βουλευτές και στη Γραμματεία της Ρ.Α.Ε., υπαλλήλων εταιρειών του Δημοσίου που περιήλθαν στο Τ.Α.Ι.ΠΕ.Δ.",0,0,1,1,0
αναφερομενες εγγραφα εργασιες δυνανται αποτελεσουν αντικειμενο συμβασεως μισθωσεως εργου υποκρυπτεται εξαρτημενη εργασια καλυφθουν εκτακτες αναγκες εθνικης βιβλιοθηκης ελλαδος δημοσιων βιβλιοθηκων εποπτευονται υπουργειο εθνικης παιδειας θρησκευματων,Δασικές εκτάσεις. Λατομεία. Μεταβίβαση κυριότητας και εκμεταλλεύσεως στο Ελλ.Δημόσιο.,1,0,0,0,0
ενταξις εκτελεσιν ακυρωτικων δικαστικων αποφασεων γινει αναδρομικως χρονολογιας οποιαν ανατρεξει ενταξις βαθμιδα διαδραμων χρονος υπολογιζεται προς συμπληρωσιν νομον τυπικου προσοντος ωρισμενον χρονον υπηρεσιας βαθμιδα προς κρισιν προαγωγην ανωτεραν ερευνητικην βαθμιδα,Εθνικό Κέντρο Θαλασσίων Ερευνών (ΕΚΘΕ Ερευνητές. Ενταξη σε ερευνητική βαθμίδα. Αναδρομική ισχύ.,0,0,0,1,0
συνεργεια τοποθετησης συσκευων υγραεριου χωρων λειτουργουντων πρατηριων υγραεριου λειτουργικης επιχειρησιακης συναφειας μπορουν ιδρυονται ακομη οικειες πολεοδομικες διαταξεις προβλεπεται ειδικα χρηση γης συνεργεια δεχομενοι προβλεπομενη προυποθεση χρησης γης πρατηριο καταλαμβανει συνεργειο,Πρατήρια καυσίμων. Συνεργεία τοποθέτησης συσκευών υγραερίου σε αυτοκίνητα εντός πρατηρίου διανομής υγραερίου.,0,1,0,0,1
αρχειοθετηση πρωτοδικης καταδικαστικης αποφασης υπαλληλου συντρεχει προυποθεση αμετακλητου ποινικης αποφασης επαναληψη πειθαρχικης διαδικασιας,"Συνδρομή ή μη προϋποθέσεων επανάληψης πειθαρχικής διαδικασίας κατά υπαλλήλου μετά την αρχειοθέτηση, κατά το άρθρο 8 παρ.4α του Ν.4198/2013, εκδοθείσας σε βάρος του καταδικαστικής ποινικής απόφασης.",0,0,0,0,1
διαταξεις περι κωδικος δικηγορων δυνατος διορισμος δικηγορου συνταξιουχου σωματων ασφαλειας,Διορισμός ως δικηγόρου συνταξιούχου αξιωματικού της Ελληνικής Αστυνομίας.,0,1,0,0,0
